in:Pt1 Y,in:Pt1 Z,in:Pt2 Y,in:Pt2 Z,in:Configuration,out:Displacement,img
-10,20,30,42,0,11.062134,Pt1Y-10_Pt1Z20_Pt2Y30_Pt2Z42_Configuration0.png
-3.333333,20,30,42,0,15.600034,Pt1Y-3.333333_Pt1Z20_Pt2Y30_Pt2Z42_Configuration0.png
3.333333,20,30,42,0,26.634343,Pt1Y3.333333_Pt1Z20_Pt2Y30_Pt2Z42_Configuration0.png
10,20,30,42,0,70.685789,Pt1Y10_Pt1Z20_Pt2Y30_Pt2Z42_Configuration0.png
-10,23.333333,30,42,0,8.778466,Pt1Y-10_Pt1Z23.333333_Pt2Y30_Pt2Z42_Configuration0.png
-3.333333,23.333333,30,42,0,11.376795,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y30_Pt2Z42_Configuration0.png
3.333333,23.333333,30,42,0,17.087721,Pt1Y3.333333_Pt1Z23.333333_Pt2Y30_Pt2Z42_Configuration0.png
10,23.333333,30,42,0,34.730982,Pt1Y10_Pt1Z23.333333_Pt2Y30_Pt2Z42_Configuration0.png
-10,26.666667,30,42,0,7.337727,Pt1Y-10_Pt1Z26.666667_Pt2Y30_Pt2Z42_Configuration0.png
-3.333333,26.666667,30,42,0,8.817972,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y30_Pt2Z42_Configuration0.png
3.333333,26.666667,30,42,0,11.848169,Pt1Y3.333333_Pt1Z26.666667_Pt2Y30_Pt2Z42_Configuration0.png
10,26.666667,30,42,0,19.89298,Pt1Y10_Pt1Z26.666667_Pt2Y30_Pt2Z42_Configuration0.png
-10,30,30,42,0,6.412872,Pt1Y-10_Pt1Z30_Pt2Y30_Pt2Z42_Configuration0.png
-3.333333,30,30,42,0,7.220325,Pt1Y-3.333333_Pt1Z30_Pt2Y30_Pt2Z42_Configuration0.png
3.333333,30,30,42,0,8.795237,Pt1Y3.333333_Pt1Z30_Pt2Y30_Pt2Z42_Configuration0.png
10,30,30,42,0,12.563526,Pt1Y10_Pt1Z30_Pt2Y30_Pt2Z42_Configuration0.png
-10,20,33.333333,42,0,11.570643,Pt1Y-10_Pt1Z20_Pt2Y33.333333_Pt2Z42_Configuration0.png
-3.333333,20,33.333333,42,0,15.932613,Pt1Y-3.333333_Pt1Z20_Pt2Y33.333333_Pt2Z42_Configuration0.png
3.333333,20,33.333333,42,0,26.022556,Pt1Y3.333333_Pt1Z20_Pt2Y33.333333_Pt2Z42_Configuration0.png
10,20,33.333333,42,0,63.167075,Pt1Y10_Pt1Z20_Pt2Y33.333333_Pt2Z42_Configuration0.png
-10,23.333333,33.333333,42,0,9.176579,Pt1Y-10_Pt1Z23.333333_Pt2Y33.333333_Pt2Z42_Configuration0.png
-3.333333,23.333333,33.333333,42,0,11.666769,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y33.333333_Pt2Z42_Configuration0.png
3.333333,23.333333,33.333333,42,0,16.830601,Pt1Y3.333333_Pt1Z23.333333_Pt2Y33.333333_Pt2Z42_Configuration0.png
10,23.333333,33.333333,42,0,31.418588,Pt1Y10_Pt1Z23.333333_Pt2Y33.333333_Pt2Z42_Configuration0.png
-10,26.666667,33.333333,42,0,7.654377,Pt1Y-10_Pt1Z26.666667_Pt2Y33.333333_Pt2Z42_Configuration0.png
-3.333333,26.666667,33.333333,42,0,9.078044,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y33.333333_Pt2Z42_Configuration0.png
3.333333,26.666667,33.333333,42,0,11.811743,Pt1Y3.333333_Pt1Z26.666667_Pt2Y33.333333_Pt2Z42_Configuration0.png
10,26.666667,33.333333,42,0,18.411337,Pt1Y10_Pt1Z26.666667_Pt2Y33.333333_Pt2Z42_Configuration0.png
-10,30,33.333333,42,0,6.6629,Pt1Y-10_Pt1Z30_Pt2Y33.333333_Pt2Z42_Configuration0.png
-3.333333,30,33.333333,42,0,7.448012,Pt1Y-3.333333_Pt1Z30_Pt2Y33.333333_Pt2Z42_Configuration0.png
3.333333,30,33.333333,42,0,8.880946,Pt1Y3.333333_Pt1Z30_Pt2Y33.333333_Pt2Z42_Configuration0.png
10,30,33.333333,42,0,11.977501,Pt1Y10_Pt1Z30_Pt2Y33.333333_Pt2Z42_Configuration0.png
-10,20,36.666667,42,0,12.3752,Pt1Y-10_Pt1Z20_Pt2Y36.666667_Pt2Z42_Configuration0.png
-3.333333,20,36.666667,42,0,16.752653,Pt1Y-3.333333_Pt1Z20_Pt2Y36.666667_Pt2Z42_Configuration0.png
3.333333,20,36.666667,42,0,26.502552,Pt1Y3.333333_Pt1Z20_Pt2Y36.666667_Pt2Z42_Configuration0.png
10,20,36.666667,42,0,60.457061,Pt1Y10_Pt1Z20_Pt2Y36.666667_Pt2Z42_Configuration0.png
-10,23.333333,36.666667,42,0,9.760287,Pt1Y-10_Pt1Z23.333333_Pt2Y36.666667_Pt2Z42_Configuration0.png
-3.333333,23.333333,36.666667,42,0,12.237779,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y36.666667_Pt2Z42_Configuration0.png
3.333333,23.333333,36.666667,42,0,17.14064,Pt1Y3.333333_Pt1Z23.333333_Pt2Y36.666667_Pt2Z42_Configuration0.png
10,23.333333,36.666667,42,0,30.078443,Pt1Y10_Pt1Z23.333333_Pt2Y36.666667_Pt2Z42_Configuration0.png
-10,26.666667,36.666667,42,0,8.092885,Pt1Y-10_Pt1Z26.666667_Pt2Y36.666667_Pt2Z42_Configuration0.png
-3.333333,26.666667,36.666667,42,0,9.50569,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y36.666667_Pt2Z42_Configuration0.png
3.333333,26.666667,36.666667,42,0,12.083031,Pt1Y3.333333_Pt1Z26.666667_Pt2Y36.666667_Pt2Z42_Configuration0.png
